Codigo;Empresa;Classes;Codigo_Yahoo;Indice_Bovespa;Tipo_Ativo
RRRP3;3R PETROLEUM;ON   NM;RRRP3.SA;Sim;Ação
TTEN3;3TENTOS;ON   NM;TTEN3.SA;Não;Ação
ABCB4;ABC BRASIL;PN   N2;ABCB4.SA;Não;Ação
AERI3;AERIS;ON   NM;AERI3.SA;Não;Ação
AESB3;AES BRASIL;ON   NM;AESB3.SA;Não;Ação
ALSO3;ALIANSCSONAE;ON   NM;ALSO3.SA;Não;Ação
BABA34;ALIBABAGR;DRN;BABA34.SA;Não;Ação
AALR3;ALLIAR;ON   NM;AALR3.SA;Não;Ação
ALPA4;ALPARGATAS;PN   N1;ALPA4.SA;Sim;Ação
GOGL34;ALPHABET;DRN;GOGL34.SA;Não;Ação
AVLL3;ALPHAVILLE;ON   NM;AVLL3.SA;Não;Ação
ALUP11;ALUPAR;UNT  N2;ALUP11.SA;Não;Ação
AMZO34;AMAZON;DRN;AMZO34.SA;Não;Ação
ABEV3;AMBEV S/A;ON;ABEV3.SA;Sim;Ação
AMBP3;AMBIPAR;ON   NM;AMBP3.SA;Não;Ação
AMER3;AMERICANAS;ON   NM;AMER3.SA;Sim;Ação
ANIM3;ANIMA;ON   NM;ANIM3.SA;Não;Ação
AAPL34;APPLE;DRN;AAPL34.SA;Não;Ação
ARZZ3;AREZZO CO;ON   NM;ARZZ3.SA;Sim;Ação
ARML3;ARMAC;ON   NM;ARML3.SA;Não;Ação
ASAI3;ASSAI;ON   NM;ASAI3.SA;Sim;Ação
AURE3;AUREN;ON   NM;AURE3.SA;Não;Ação
AZUL4;AZUL;PN   N2;AZUL4.SA;Sim;Ação
B3SA3;B3;ON   NM;B3SA3.SA;Sim;Ação
BMGB4;BANCO BMG;PN   N1;BMGB4.SA;Não;Ação
BPAN4;BANCO PAN;PN   N1;BPAN4.SA;Sim;Ação
BRSR6;BANRISUL;PNB  N1;BRSR6.SA;Não;Ação
BBSE3;BBSEGURIDADE;ON   NM;BBSE3.SA;Sim;Ação
BMOB3;BEMOBI TECH;ON   NM;BMOB3.SA;Não;Ação
BLAU3;BLAU;ON   NM;BLAU3.SA;Não;Ação
SOJA3;BOA SAFRA;ON   NM;SOJA3.SA;Não;Ação
BOAS3;BOA VISTA;ON   NM;BOAS3.SA;Não;Ação
BRML3;BR MALLS PAR;ON   NM;BRML3.SA;Sim;Ação
BRPR3;BR PROPERT;ON   NM;BRPR3.SA;Não;Ação
BBDC3;BRADESCO;ON   N1;BBDC3.SA;Sim;Ação
BBDC4;BRADESCO;PN   N1;BBDC4.SA;Sim;Ação
BRAP3;BRADESPAR;ON   N1;BRAP3.SA;Não;Ação
BRAP4;BRADESPAR;PN   N1;BRAP4.SA;Sim;Ação
BBAS3;BRASIL;ON   NM;BBAS3.SA;Sim;Ação
AGRO3;BRASILAGRO;ON   NM;AGRO3.SA;Não;Ação
BRKM5;BRASKEM;PNA  N1;BRKM5.SA;Sim;Ação
BRFS3;BRF SA;ON   NM;BRFS3.SA;Sim;Ação
BRIT3;BRISANET;ON   NM;BRIT3.SA;Não;Ação
BPAC11;BTGP BANCO;UNT  N2;BPAC11.SA;Sim;Ação
CXSE3;CAIXA SEGURI;ON   NM;CXSE3.SA;Não;Ação
CAML3;CAMIL;ON   NM;CAML3.SA;Não;Ação
CRFB3;CARREFOUR BR;ON   NM;CRFB3.SA;Sim;Ação
CACR11;CARTESIA FII;CI;CACR11.SA;Não;Ação
CBAV3;CBA;ON   NM;CBAV3.SA;Não;Ação
CCRO3;CCR SA;ON   NM;CCRO3.SA;Sim;Ação
CEAB3;CEA MODAS;ON   NM;CEAB3.SA;Não;Ação
CMIG3;CEMIG;ON   N1;CMIG3.SA;Não;Ação
CMIG4;CEMIG;PN   N1;CMIG4.SA;Sim;Ação
CIEL3;CIELO;ON   NM;CIEL3.SA;Sim;Ação
CLSA3;CLEARSALE;ON   NM;CLSA3.SA;Não;Ação
COGN3;COGNA ON;ON   NM;COGN3.SA;Sim;Ação
CSMG3;COPASA;ON   NM;CSMG3.SA;Não;Ação
CPLE3;COPEL;ON   N2;CPLE3.SA;Não;Ação
CPLE6;COPEL;PNB  N2;CPLE6.SA;Sim;Ação
CSAN3;COSAN;ON   NM;CSAN3.SA;Sim;Ação
CPFE3;CPFL ENERGIA;ON   NM;CPFE3.SA;Sim;Ação
CSED3;CRUZEIRO EDU;ON   NM;CSED3.SA;Não;Ação
CMIN3;CSNMINERACAO;ON   N2;CMIN3.SA;Sim;Ação
CURY3;CURY S/A;ON   NM;CURY3.SA;Não;Ação
CVCB3;CVC BRASIL;ON   NM;CVCB3.SA;Sim;Ação
CYRE3;CYRELA REALT;ON   NM;CYRE3.SA;Sim;Ação
DASA3;DASA;ON   NM;DASA3.SA;Não;Ação
DESK3;DESKTOP;ON   NM;DESK3.SA;Não;Ação
DXCO3;DEXCO;ON   NM;DXCO3.SA;Sim;Ação
DEXP3;DEXXOS PAR;ON   N1;DEXP3.SA;Não;Ação
PNVL3;DIMED;ON   NM;PNVL3.SA;Não;Ação
